LotNo,Qty Unique Chip-id Bin1,Qty Redundant Chip-id,Qty Camstar at Bake-in,Result,Qty Camstar-Unique Chip-Id,Tested Date,Test Sequence
VC312642B12,26567,95,26880,FAIL,313,['2023-05-24 12:15:12'],['NCR']
VC307335B05,26613,0,26584,OK,-29,['2023-05-24 19:54:24'],['NR']
VC312642931,11426,1,11427,FAIL,1,['2023-05-25 01:47:57'],['NR']
VC30733593U,22377,0,22337,OK,-40,['2023-05-25 05:49:57'],['NCRR']
VC307335B06,26598,0,26598,OK,0,['2023-05-25 06:16:18'],['NRRR']
VC30733595C,30363,0,30273,OK,-90,['2023-05-25 16:33:54'],['NCR']
VC307335944,29969,12,29951,OK,-18,['2023-05-25 17:19:10'],['NRR']
VC307335B07,26599,7,26601,FAIL,2,['2023-05-26 08:36:06'],['NR']
VC30733594W,28215,0,28214,OK,-1,['2023-05-26 13:46:45'],['NRR']
VC307335B08,26630,7,26627,OK,-3,['2023-05-26 17:36:41'],['NR']
VC312642EA5,28715,1,28710,OK,-5,['2023-05-26 23:45:59'],['NR']
VC312642B19,26348,0,26335,OK,-13,['2023-05-27 02:59:20'],['N']
VC31264295Y,28491,0,28478,OK,-13,['2023-05-27 09:37:45'],['NR']
VC307335956,27068,351,27412,FAIL,344,['2023-05-27 15:39:58'],['NR']
VC31264294J,30375,0,30343,OK,-32,['2023-05-27 19:57:36'],['NR']
VC31008294P,30361,2466,30345,OK,-16,['2023-06-23 07:14:15'],['NRR']
VC31008295C,28378,1819,28366,OK,-12,['2023-06-22 08:52:46'],['NCCCCCCRR']
VC310082EA5,30232,0,30214,OK,-18,['2023-06-14 00:35:03'],['NR']
VC310082B19,26649,4,26646,OK,-3,['2023-06-15 00:02:22'],['NR']
VC310082B20,26668,0,26668,OK,0,['2023-06-15 10:55:14'],['NR']
VC31382693J,28465,14,28367,OK,-98,['2023-06-18 14:30:15'],['NCRR']
VC313826937,28497,0,28481,OK,-16,['2023-06-19 05:28:19'],['NR']
VC310082B24,26605,1656,26594,OK,-11,['2023-06-21 09:05:19'],['NRR']
VC313826B02,26716,17731,26617,OK,-99,['2023-06-23 17:23:52'],['NCCRR']
VC313826956,30489,0,30474,OK,-15,['2023-06-19 14:08:29'],['NR']
VC312642EGA,28542,0,28534,OK,-8,['2023-06-19 17:51:52'],['NRR']
VC313826931,28452,0,28427,OK,-25,['2023-06-19 23:57:23'],['NR']
VC312642EG4,28455,1,28440,OK,-15,['2023-06-24 02:51:16'],['NR']
VC310082EBK,28591,0,28586,OK,-5,['2023-06-20 11:09:16'],['NCCR']
VC310082EBE,28646,0,28646,OK,0,['2023-06-20 23:39:02'],['NR']
VC310082EBU,28649,1830,28643,OK,-6,['2023-07-15 16:52:19'],['NR']
VC31382693V,30643,11,30643,OK,0,['2023-06-21 18:23:00'],['NCRR']
VC313826B03,26702,0,26694,OK,-8,['2023-06-22 00:19:28'],['NR']
VC312642EB6,28348,9,28345,OK,-3,['2023-06-22 13:33:03'],['NCCR']
VC31382693P,28376,0,28364,OK,-12,['2023-06-23 08:19:57'],['NR']
VC312642EBI,29922,0,29920,OK,-2,['2023-06-23 22:31:37'],['NR']
VC313826947,30346,0,30338,OK,-8,['2023-06-24 12:15:13'],['NRR']
VC31382694O,28419,968,28415,OK,-4,['2023-07-06 03:31:32'],['NCR']
VC31382694I,28286,0,28285,OK,-1,['2023-06-25 00:12:16'],['NCR']
VC31391993C,28097,0,28090,OK,-7,['2023-06-25 00:25:39'],['NR']
VC313826B05,26629,0,26622,OK,-7,['2023-06-25 11:24:21'],['NCRR']
VC312642B41,26569,0,26569,OK,0,['2023-06-25 13:54:20'],['NR']
VC313919B01,26587,0,26585,OK,-2,['2023-06-25 22:27:38'],['NCRR']
VC310082EF1,28403,0,28398,OK,-5,['2023-06-26 13:48:49'],['NCCRR']
VC31391993M,28461,0,28461,OK,0,['2023-06-27 21:41:42'],['NR']
VC313919B02,26620,0,26620,OK,0,['2023-06-28 06:24:10'],['NCRR']
VC31391993W,27471,0,27471,OK,0,['2023-06-28 14:53:38'],['NCCRR']
VC313919B03,26711,0,26708,OK,-3,['2023-06-29 00:37:32'],['NRR']
VC31382695H,28559,0,28559,OK,0,['2023-06-29 22:24:18'],['NCCRR']
VC31382695N,28152,0,28144,OK,-8,['2023-06-30 08:40:46'],['NCRR']
VC31391994N,28416,0,28411,OK,-5,['2023-06-30 19:14:26'],['NCR']
VC313919931,30380,0,30376,OK,-4,['2023-07-01 03:37:47'],['NCCRR']
VC313919B04,26572,0,26572,OK,0,['2023-07-01 14:32:47'],['NCCRR']
VC31391994I,28232,0,28232,OK,0,['2023-07-02 01:34:36'],['NCR']
VC31391994Z,28731,0,28727,OK,-4,['2023-07-02 12:27:35'],['NCR']
VC313919956,28586,28422,28402,OK,-184,['2023-07-17 19:50:07'],['NCCR']
VC31391995I,28532,0,28526,OK,-6,['2023-07-02 20:26:22'],['NR']
VC31391994T,28552,0,28552,OK,0,['2023-07-03 03:55:14'],['NRR']
VC31391995C,28360,0,28359,OK,-1,['2023-07-03 11:11:56'],['NCR']
VC313826EAG,28558,0,28791,FAIL,233,['2023-07-03 11:53:53'],['NCRR']
VC31382695S,28479,0,28477,OK,-2,['2023-07-03 20:21:49'],['NR']
VC313919B07,26699,0,26697,OK,-2,['2023-07-04 06:22:54'],['NCR']
VC312642934,28530,0,28530,OK,0,['2023-07-04 17:19:32'],['NCCR']
VC313919947,30545,0,30545,OK,0,['2023-07-05 05:54:12'],['NR']
VC310082942,28558,0,28558,OK,0,['2023-07-05 17:44:44'],['NR']
VC313826EAY,28454,0,28518,FAIL,64,['2023-07-06 19:12:40'],['NCCCR']
VC313826EAS,28398,0,28398,OK,0,['2023-07-08 02:46:50'],['NCR']
VC313826EBN,30427,0,30427,OK,0,['2023-07-08 11:00:00'],['NCR']
VC313826EBB,28596,0,28596,OK,0,['2023-07-08 21:10:36'],['NCCR']
VC313826EBH,28506,0,28506,OK,0,['2023-07-09 05:27:48'],['NCCRR']
VC313826EBY,30442,0,30440,OK,-2,['2023-07-09 15:12:02'],['NCR']
VC313826B24,26744,3,26744,OK,0,['2023-07-09 23:44:02'],['NR']
VC313826EAA,28573,0,28573,OK,0,['2023-07-10 06:36:57'],['NR']
VC313826EB5,28520,0,28518,OK,-2,['2023-07-10 13:46:33'],['NCR']
VC31391995Z,30474,0,30474,OK,0,['2023-07-10 23:42:46'],['NCR']
VC313919B15,26710,0,26710,OK,0,['2023-07-11 07:55:12'],['NR']
VC313826EFA,28529,0,28526,OK,-3,['2023-07-11 14:32:07'],['NR']
VC31391995O,30473,0,30472,OK,-1,['2023-07-11 21:56:18'],['NR']
VC313919B16,26738,0,26738,OK,0,['2023-07-12 06:16:22'],['NCR']
VC313919EAB,27428,0,27428,OK,0,['2023-07-15 08:05:10'],['NR']
VC313919B17,26518,0,26516,OK,-2,['2023-07-12 22:49:47'],['NCCR']
VC313919B20,26680,0,26680,OK,0,['2023-07-13 19:09:19'],['NCRR']
VC313919EAL,30128,0,30128,OK,0,['2023-07-14 03:39:28'],['NCRR']
VC314175955,27397,0,27388,OK,-9,['2023-07-16 02:35:18'],['NR']
VC31417593V,28453,0,28447,OK,-6,['2023-07-16 09:54:25'],['NR']
VC31417593D,28469,0,28460,OK,-9,['2023-07-16 19:57:10'],['NCCR']
VC31417593P,28488,0,28480,OK,-8,['2023-07-17 04:05:58'],['NCR']
VC319524B01,26731,0,26725,OK,-6,['2023-07-17 11:32:09'],['NR']
VC319524931,30516,0,30513,OK,-3,['2023-07-18 04:18:48'],['NCR']
VC31417593J,28537,0,28535,OK,-2,['2023-07-18 15:01:35'],['NCCCR']
VC314175937,28512,0,28512,OK,0,['2023-07-19 01:27:42'],['NCR']
VC313919B30,26756,0,26739,OK,-17,['2023-07-19 08:50:28'],['NR']
VC314175B01,26775,0,26772,OK,-3,['2023-07-19 15:54:29'],['NCR']
VC313919EAW,25363,0,25363,OK,0,['2023-07-19 23:45:08'],['NR']
VC31417594I,30514,0,30502,OK,-12,['2023-07-20 06:23:45'],['NCR']
VC313919EB7,28628,0,28628,OK,0,['2023-07-20 15:25:30'],['NR']
VC314175B06,26689,0,26689,OK,0,['2023-07-20 23:45:41'],['NR']
VC31417594T,30298,0,30298,OK,0,['2023-07-21 06:36:20'],['NCCCR']
VC314175942,27239,361,27138,OK,-101,['2023-07-23 12:19:07'],['NCCR']
VC31952494G,28599,0,28599,OK,0,['2023-07-21 23:49:06'],['NRR']
VC31952495B,28451,0,28444,OK,-7,['2023-07-22 07:34:18'],['NRR']
VC31952493C,30530,0,30528,OK,-2,['2023-07-22 15:54:06'],['NR']
VC31952494A,28671,28407,28423,OK,-248,['2023-07-24 04:25:05'],['NR']
VC319524B05,26728,0,26723,OK,-5,['2023-07-23 21:00:52'],['NCR']
VC31952494M,28487,90,28574,FAIL,87,['2023-07-27 21:50:42'],['NR']
