Lot Number,Unique CID Qty,Redundant CID Qty,System Qty,Result,Discrepancy Qty,Tested Date,Test Sequence
TEST1234,24614,0,24614,PASS,0,['2025-01-31 04:35:04'],['NC']
TEST4321,26609,0,26597,PASS,12,['2025-01-31 20:21:34'],['N']
